,Subscription Code,License Type,County,Meter Serial,Meter Size,Installation Date,Last Connection Time,Consumption in Period (m³),Operating Hours in Period (h),Average Flow Rate in Period (l/s)
0,,,,,,,,,,
1,520009,صنعتی,مشهد,909801058196.0,50.0,1402/11/15,1404/01/28 - 03:07:28,11370.342,3875.4,1.56
2,200654,کشاورزی,قوچان,909801034787.0,80.0,1400/02/12,1404/01/28 - 02:08:15,7467.12,54085.3,0.72
3,622162,کشاورزی,تربت حیدریه,909801061701.0,50.0,1403/02/27,1403/09/08 - 03:10:09,3999.391,670.0,1.63
4,515618,کشاورزی,مشهد,909801035022.0,125.0,1400/02/30,1404/01/28 - 02:10:25,111012.0,4096.0,6.5
5,529232,کشاورزی,مشهد,909801046032.0,125.0,1401/06/23,1404/01/28 - 02:11:21,,,
6,911508,شرب و بهداشت دام,تربت جام,909801046516.0,50.0,1401/07/27,1404/01/28 - 03:06:40,1864.944,9092.6,2.19
7,805816,خدمات,نیشابور,909801034654.0,50.0,1400/02/06,1404/01/28 - 03:10:31,3457.564,316.6,3.22
8,603182,,تربت حیدریه,909801035266.0,50.0,1402/11/23,1404/01/05 - 02:11:00,37414.794,4155.3,3.17
9,514013,کشاورزی,مشهد,909801059671.0,150.0,1403/03/01,1404/01/28 - 03:11:00,66945.731,4023.0,16.66
10,603107,کشاورزی,تربت حیدریه,909801050121.0,150.0,1402/03/02,1404/01/28 - 03:10:57,394882.3,50281.0,18.73
11,517963,کشاورزی,مشهد,909801035486.0,200.0,1400/04/02,1404/01/28 - 01:43:22,279459.1,3744.2,22.9
12,603444,کشاورزی,تربت حیدریه,909801048232.0,100.0,1402/03/27,1403/05/12 - 03:10:55,37025.3,14077.6,8.4
13,518606,صنعتی,مشهد,909801034974.0,50.0,1400/08/10,1404/01/28 - 02:10:45,23887.26,228225.4,0.87
14,514600,کشاورزی,مشهد,909801037083.0,100.0,1400/08/12,1404/01/01 - 02:01:45,18043.84,44000.0,2.13
15,518430,,مشهد,909801035265.0,50.0,1400/04/03,1404/01/28 - 02:07:53,5191.83,2680.0,4.95
16,608033,شرب و بهداشت دام,کاشمر,909801052337.0,50.0,1402/07/09,1404/01/28 - 03:10:38,20434.5,2648.7,1.55
17,911593,شرب و بهداشت دام,تربت جام,909801036862.0,50.0,1400/08/04,1404/01/28 - 02:10:55,-23212.423,115.3,1.91
18,529338,کشاورزی,مشهد,909801035351.0,150.0,1400/03/30,1403/12/27 - 02:08:08,268288.6,32656.6,21.98
19,519787,کشاورزی,مشهد,909801034846.0,125.0,1400/03/24,1404/01/28 - 02:10:37,141105.6,2742.6,13.4
20,302105,کشاورزی,گناباد,909801033223.0,100.0,1399/08/11,1404/01/28 - 03:12:04,-3.553,51.9,0.1
21,514765,کشاورزی,مشهد,909801033013.0,150.0,1399/07/20,1404/01/28 - 02:10:42,201031.4,219746.9,18.03
22,515650,کشاورزی,مشهد,909801035556.0,100.0,1400/07/08,1404/01/28 - 02:11:02,136784.9,36519.1,12.09
23,529134,کشاورزی,مشهد,909801032647.0,100.0,1399/05/25,1404/01/28 - 02:10:41,69061.5,4663.5,4.23
24,517638,کشاورزی,مشهد,909801033054.0,100.0,1399/07/24,1404/01/28 - 02:11:09,-267504.349,3138.2,3.78
25,515741,کشاورزی,مشهد,909801033142.0,100.0,1399/08/12,1404/01/28 - 03:07:25,-476913.179,2183.4,11.06
26,529307,کشاورزی,مشهد,909801036472.0,125.0,1400/08/08,1404/01/28 - 03:11:31,279155.3,3161.4,23.29
27,805629,شرب و بهداشت دام,نیشابور,909801048837.0,50.0,1401/10/18,1404/01/27 - 03:01:05,6424.26,29536.7,1.61
28,605164,کشاورزی,تربت حیدریه,909801032655.0,125.0,1399/07/27,1404/01/28 - 02:10:35,377928.0,45208.4,18.36
29,604907,کشاورزی,تربت حیدریه,909801033134.0,100.0,1399/07/27,1404/01/28 - 02:10:33,17536.4,2294.8,4.6
30,515611,کشاورزی,مشهد,909801035045.0,100.0,1400/02/27,1404/01/28 - 03:10:36,180.219,32.0,1.87
31,203320,کشاورزی,قوچان,909801035507.0,50.0,1400/06/10,1403/05/21 - 02:10:32,11720.94,5495.2,1.19
32,609042,کشاورزی,کاشمر,909801041691.0,100.0,1401/10/07,1404/01/28 - 02:10:31,72841.87,2348.4,8.72
33,302041,شرب و بهداشت دام,گناباد,909801035316.0,50.0,1400/04/27,1403/07/13 - 03:11:19,,,
34,518893,سایر,مشهد,909801037292.0,50.0,1400/08/26,1404/01/28 - 01:59:06,605.135,1084.8,0.9
35,515411,شرب و بهداشت دام,مشهد,909801032448.0,50.0,1399/05/07,1404/01/28 - 02:10:25,4534.33,5170.5,2.91
36,805027,کشاورزی,نیشابور,909801035055.0,50.0,1400/08/29,1404/01/28 - 02:10:34,5494.77,2994.8,0.48
37,102646,کشاورزی,سبزوار,909801050891.0,150.0,1403/01/30,1403/02/24 - 02:45:25,,,
38,529546,صنعتی,مشهد,909801034991.0,50.0,1400/04/08,1404/01/28 - 02:08:24,16748.6,449118.4,2.55
39,514059,,مشهد,909801034997.0,100.0,1400/06/09,1403/08/27 - 02:02:06,39996.7,2996.4,3.96
40,518380,صنعتی,مشهد,909801035474.0,80.0,1400/09/04,1400/09/04 - 02:11:21,,,
41,603353,خدمات,تربت حیدریه,909801048286.0,150.0,1401/11/21,1404/01/28 - 03:08:54,183537.6,177086.8,11.21
42,601581,صنعتی,تربت حیدریه,909801035221.0,50.0,1400/03/27,1404/01/28 - 03:11:17,-35314.502,9830.7,3.52
43,541772,,مشهد,909801047560.0,80.0,1401/09/17,1404/01/28 - 03:10:21,11125.9,3833.7,5.0
44,623218,صنعتی,کاشمر,909801047557.0,80.0,1402/07/10,1404/01/28 - 03:10:41,90144.89,4190.7,8.4
45,618400,صنعتی,کاشمر,909801034927.0,50.0,1400/02/16,1404/01/28 - 03:10:44,8006.164,641.3,4.95
46,805641,خدمات,نیشابور,909801040716.0,80.0,1403/01/26,1404/01/28 - 02:10:32,31039.034,1357.9,6.49
47,515422,کشاورزی,مشهد,909801035365.0,125.0,1400/07/14,1404/01/28 - 02:10:37,177331.4,37113.2,14.16
48,805501,کشاورزی,نیشابور,909801049175.0,100.0,1401/12/02,1404/01/28 - 03:09:13,23428.33,6221.5,3.68
49,513657,,سرخس,909801039447.0,100.0,1401/10/05,1404/01/27 - 02:10:49,0.0,0.0,
50,806418,صنعتی,نیشابور,909801046512.0,50.0,1401/07/19,1404/01/27 - 03:10:52,18418.92,50090.9,1.07
51,602411,شرب و بهداشت دام,خواف,909801036994.0,50.0,1400/08/18,1404/01/28 - 02:08:08,6783.53,1267.3,1.43
52,600743,شرب و بهداشت دام,تربت حیدریه,909801058240.0,80.0,1402/11/03,1403/04/16 - 03:06:55,48269.64,2585.6,6.57
53,107165,کشاورزی,سبزوار,909801036539.0,80.0,1400/06/20,1404/01/27 - 02:10:38,99599.4,3016.4,5.21
54,603399,,تربت حیدریه,909801036469.0,125.0,1400/07/28,1402/04/23 - 03:12:41,,,
55,515122,کشاورزی,مشهد,909801036264.0,150.0,1400/06/13,1404/01/28 - 02:07:46,-704881.801,105223.6,13.03
56,517768,کشاورزی,مشهد,909801032732.0,150.0,1399/06/18,1404/01/28 - 03:10:36,-2154116.099,487.2,30.49
57,805327,کشاورزی,نیشابور,909801034978.0,50.0,1400/07/20,1403/07/30 - 02:05:11,0.0,0.0,
58,516231,صنعتی,مشهد,909801034868.0,50.0,1400/03/25,1403/12/08 - 02:10:16,93.892,35.2,0.83
59,603185,کشاورزی,تربت حیدریه,909801049332.0,100.0,1401/12/25,1404/01/28 - 03:10:34,152994.4,24033.6,8.52
60,514487,کشاورزی,مشهد,909801036567.0,100.0,1400/06/27,1404/01/28 - 02:10:01,35478.35,468.4,16.36
61,515828,شرب و بهداشت دام,مشهد,909801033194.0,50.0,1399/08/05,1403/10/05 - 02:10:29,0.021,0.0,
62,514505,کشاورزی,مشهد,909801035290.0,125.0,1400/05/05,1404/01/26 - 02:11:26,587.476,67.7,17.83
63,514807,کشاورزی,مشهد,909801032635.0,80.0,1399/05/11,1404/01/28 - 02:10:31,83468.7,14020.3,16.87
64,202708,,قوچان,909801041993.0,50.0,1402/11/11,1404/01/28 - 03:09:23,106.067,41.8,0.81
65,515628,صنعتی,مشهد,909801049591.0,50.0,1401/11/24,1404/01/28 - 02:48:47,11025.07,2026.6,1.52
66,603161,کشاورزی,تربت حیدریه,909801050089.0,125.0,1402/02/30,1404/01/28 - 03:10:52,280914.1,4074.8,19.77
67,605058,کشاورزی,تربت حیدریه,909801036522.0,50.0,1400/07/10,1404/01/28 - 02:10:48,61093.8,10567.9,5.25
68,209268,کشاورزی,درگز,909801039023.0,50.0,1400/11/21,1403/07/19 - 03:10:32,21313.4,1701.1,3.57
69,514154,کشاورزی,مشهد,909801034945.0,125.0,1400/02/13,1404/01/28 - 02:10:37,6192.8,5522.3,0.47
70,529036,کشاورزی,مشهد,909801033135.0,100.0,1399/07/19,1403/01/14 - 01:01:00,,,
71,514711,کشاورزی,مشهد,909801036263.0,150.0,1400/08/15,1400/11/14 - 02:11:03,,,
72,514711,کشاورزی,مشهد,909801039491.0,150.0,1401/01/07,1404/01/28 - 03:08:33,132493.8,193653.6,11.67
73,805221,سایر,نیشابور,909801034850.0,50.0,1400/02/28,1404/01/28 - 01:58:23,2735.861,14492.2,1.37
74,200712,کشاورزی,قوچان,909801036701.0,100.0,1400/09/15,1401/07/19 - 02:11:32,,,
75,514422,کشاورزی,مشهد,909801034766.0,150.0,1400/02/19,1404/01/28 - 02:10:31,813699.2,80475.2,23.24
76,529072,کشاورزی,مشهد,909801035368.0,125.0,1400/04/22,1403/12/11 - 03:11:09,71131.6,2065.3,8.05
77,515960,سایر,مشهد,909801033113.0,50.0,1399/07/22,1404/01/26 - 02:10:25,1592.793,320.2,1.48
78,514579,کشاورزی,مشهد,909801035044.0,100.0,1400/04/01,1404/01/28 - 01:45:39,216276.0,19793.0,13.94
79,100476,شرب و بهداشت دام,سبزوار,909801047058.0,50.0,1401/08/25,1404/01/28 - 03:10:46,3849.048,977.0,1.12
80,519684,کشاورزی,مشهد,909801034390.0,80.0,1400/04/21,1402/09/18 - 02:11:03,,,
