Subscription Code,License Type,County,Meter Serial,Meter Size,Installation Date,Last Connection Time,Consumption in Period (m³),Operating Hours in Period (h),Average Flow Rate in Period (l/s)
200654,کشاورزی,قوچان,909801034787.0,80.0,1400/02/12,1404/01/28 - 02:08:15,23879.93,343575.4,1.15
622162,کشاورزی,تربت حیدریه,909801061701.0,50.0,1403/02/27,1403/09/08 - 03:10:09,,,
515618,کشاورزی,مشهد,909801035022.0,125.0,1400/02/30,1404/01/28 - 02:10:25,103922.6,475073.2,6.91
529232,کشاورزی,مشهد,909801046032.0,125.0,1401/06/23,1404/01/28 - 02:11:21,84159.69,68022.1,6.0
514013,کشاورزی,مشهد,909801059671.0,150.0,1403/03/01,1404/01/28 - 03:11:00,,,
603107,کشاورزی,تربت حیدریه,909801050121.0,150.0,1402/03/02,1404/01/28 - 03:10:57,0.0,81.3,0.72
517963,کشاورزی,مشهد,909801035486.0,200.0,1400/04/02,1404/01/28 - 01:43:22,-310740.49,1283165.9,14.41
603444,کشاورزی,تربت حیدریه,909801048232.0,100.0,1402/03/27,1403/05/12 - 03:10:55,0.0,6.4,1.0
514600,کشاورزی,مشهد,909801037083.0,100.0,1400/08/12,1404/01/01 - 02:01:45,40218.81,230634.8,1.42
529338,کشاورزی,مشهد,909801035351.0,150.0,1400/03/30,1403/12/27 - 02:08:08,985367.5,957466.1,17.23
519787,کشاورزی,مشهد,909801034846.0,125.0,1400/03/24,1404/01/28 - 02:10:37,199587.2,469899.9,8.86
302105,کشاورزی,گناباد,909801033223.0,100.0,1399/08/11,1404/01/28 - 03:12:04,10751.676,71876.8,1.72
514765,کشاورزی,مشهد,909801033013.0,150.0,1399/07/20,1404/01/28 - 02:10:42,428199.8,848273.1,21.99
515650,کشاورزی,مشهد,909801035556.0,100.0,1400/07/08,1404/01/28 - 02:11:02,177562.61,445376.6,16.4
529134,کشاورزی,مشهد,909801032647.0,100.0,1399/05/25,1404/01/28 - 02:10:41,49278.7,326518.0,5.64
517638,کشاورزی,مشهد,909801033054.0,100.0,1399/07/24,1404/01/28 - 02:11:09,277887.5,298813.3,3.83
515741,کشاورزی,مشهد,909801033142.0,100.0,1399/08/12,1404/01/28 - 03:07:25,,,
529307,کشاورزی,مشهد,909801036472.0,125.0,1400/08/08,1404/01/28 - 03:11:31,84084.65,1073681.4,5.02
605164,کشاورزی,تربت حیدریه,909801032655.0,125.0,1399/07/27,1404/01/28 - 02:10:35,400768.9,501411.8,6.45
604907,کشاورزی,تربت حیدریه,909801033134.0,100.0,1399/07/27,1404/01/28 - 02:10:33,46411.0,668320.4,5.28
515611,کشاورزی,مشهد,909801035045.0,100.0,1400/02/27,1404/01/28 - 03:10:36,-52838.64,68066.3,11.67
