Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month
479654,,0,0.0,,,0,31,0.0,1401/01
917062,,0,0.0,,,0,31,0.0,1401/01
319197,,0,0.0,,,0,31,0.0,1401/01
560142,,0,0.0,,,0,31,0.0,1401/01
۴۰۰۹۷۲۴۴,,0,0.0,,,0,31,0.0,1401/01
930639,,0,0.0,,,0,31,0.0,1401/01
479657,,0,0.0,,,0,31,0.0,1401/01
80143,,0,0.0,,,0,31,0.0,1401/01
اذر مختاری,,0,0.0,,,0,31,0.0,1401/01
151009,,0,0.0,,,0,31,0.0,1401/01
1439830258,,0,0.0,,,0,31,0.0,1401/01
1599801182,,0,0.0,,,0,31,0.0,1401/01
5515840,,0,0.0,,,0,31,0.0,1401/01
4122080,,0,0.0,,,0,31,0.0,1401/01
1599712339,,0,0.0,,,0,31,0.0,1401/01
01133012,,0,0.0,,,0,31,0.0,1401/01
1802245,,0,0.0,,,0,31,0.0,1401/01
842683,,0,0.0,,,0,31,0.0,1401/01
14211214,,0,0.0,,,0,31,0.0,1401/01
1124163,,0,0.0,,,0,31,0.0,1401/01
412511,,0,0.0,,,0,31,0.0,1401/01
14211166,,0,0.0,,,0,31,0.0,1401/01
2,,0,0.0,,,0,31,0.0,1401/01
3,,0,0.0,,,0,31,0.0,1401/01
14211330,,0,0.0,,,0,31,0.0,1401/01
14211204,,0,0.0,,,0,31,0.0,1401/01
14211137,,0,0.0,,,0,31,0.0,1401/01
881723,,0,0.0,,,0,31,0.0,1401/01
1599421043,,0,0.0,,,0,31,0.0,1401/01
4616532,,0,0.0,,,0,31,0.0,1401/01
حجاب 63 - 50062656,,0,0.0,,,0,31,0.0,1401/01
1599421048,,0,0.0,,,0,31,0.0,1401/01
4245966,,0,0.0,,,0,31,0.0,1401/01
841635,,0,0.0,,,0,31,0.0,1401/01
1492051016,,0,0.0,,,0,31,0.0,1401/01
000296,,0,0.0,,,0,31,0.0,1401/01
14211014,,0,0.0,,,0,31,0.0,1401/01
4616394,,0,0.0,,,0,31,0.0,1401/01
841853,,0,0.0,,,0,31,0.0,1401/01
5414940,,0,0.0,,,0,31,0.0,1401/01
14211042,,0,0.0,,,0,31,0.0,1401/01
14211081,,0,0.0,,,0,31,0.0,1401/01
رامین اعلمی,,0,0.0,,,0,31,0.0,1401/01
14211061,,0,0.0,,,0,31,0.0,1401/01
842682,,0,0.0,,,0,31,0.0,1401/01
51858,,0,0.0,,,0,31,0.0,1401/01
930342,,0,0.0,,,0,31,0.0,1401/01
1599772540,,0,0.0,,,0,31,0.0,1401/01
0000297,,0,0.0,,,0,31,0.0,1401/01
14211152,,0,0.0,,,0,31,0.0,1401/01
14211332,,0,0.0,,,0,31,0.0,1401/01
5515797,,0,0.0,,,0,31,0.0,1401/01
4245931,,0,0.0,,,0,31,0.0,1401/01
4245936,,0,0.0,,,0,31,0.0,1401/01
14211184,,0,0.0,,,0,31,0.0,1401/01
555905,,0,0.0,,,0,31,0.0,1401/01
14211362,,0,0.0,,,0,31,0.0,1401/01
14211310,,0,0.0,,,0,31,0.0,1401/01
14211186,,0,0.0,,,0,31,0.0,1401/01
1650830542,,0,0.0,,,0,31,0.0,1401/01
14211153,,0,0.0,,,0,31,0.0,1401/01
14211100,,0,0.0,,,0,31,0.0,1401/01
14211187,,0,0.0,,,0,31,0.0,1401/01
841636,,0,0.0,,,0,31,0.0,1401/01
841967,,0,0.0,,,0,31,0.0,1401/01
842045,,0,0.0,,,0,31,0.0,1401/01
5515811,,0,0.0,,,0,31,0.0,1401/01
5515074,,0,0.0,,,0,31,0.0,1401/01
000159,,0,0.0,,,0,31,0.0,1401/01
000285,,0,0.0,,,0,31,0.0,1401/01
خروجی پمپاژ پارک پردیس 4اینچ,,0,0.0,,,0,31,0.0,1401/01
14211074,,0,0.0,,,0,31,0.0,1401/01
40528,,0,0.0,,,0,31,0.0,1401/01
1421182,,0,0.0,,,0,31,0.0,1401/01
14211298,,0,0.0,,,0,31,0.0,1401/01
14211163,,0,0.0,,,0,31,0.0,1401/01
14211079,,0,0.0,,,0,31,0.0,1401/01
14211285,,0,0.0,,,0,31,0.0,1401/01
14211243,,0,0.0,,,0,31,0.0,1401/01
983532,,0,0.0,,,0,31,0.0,1401/01
4245760,,0,0.0,,,0,31,0.0,1401/01
5515839,,0,0.0,,,0,31,0.0,1401/01
512834,,0,0.0,,,0,31,0.0,1401/01
512835,,0,0.0,,,0,31,0.0,1401/01
5515817,,0,0.0,,,0,31,0.0,1401/01
14211341,,0,0.0,,,0,31,0.0,1401/01
1636100141,,0,0.0,,,0,31,0.0,1401/01
0005111914,,0,0.0,,,0,31,0.0,1401/01
1434760060,,0,0.0,,,0,31,0.0,1401/01
1628870300,,0,0.0,,,0,31,0.0,1401/01
000307,,0,0.0,,,0,31,0.0,1401/01
غلامرضا محمدرضا نیا,,0,0.0,,,0,31,0.0,1401/01
1648520669,,0,0.0,,,0,31,0.0,1401/01
25022002,,0,0.0,,,0,31,0.0,1401/01
