,Subscription Code,License Type,County,Meter Serial,Meter Size,Installation Date,Last Connection Time,Consumption in Period (m³),Operating Hours in Period (h),Average Flow Rate in Period (l/s)
1,520009,صنعتی,مشهد,909801058196.0,50.0,1402/11/15,1404/01/28 - 03:07:28,1469.332,3348.1,1.43
2,200654,کشاورزی,قوچان,909801034787.0,80.0,1400/02/12,1404/01/28 - 02:08:15,16296.19,1599091.8,0.73
3,622162,کشاورزی,تربت حیدریه,909801061701.0,50.0,1403/02/27,1403/09/08 - 03:10:09,,,
4,515618,کشاورزی,مشهد,909801035022.0,125.0,1400/02/30,1404/01/28 - 02:10:25,,,
5,529232,کشاورزی,مشهد,909801046032.0,125.0,1401/06/23,1404/01/28 - 02:11:21,279251.01,121300.3,24.68
6,911508,شرب و بهداشت دام,تربت جام,909801046516.0,50.0,1401/07/27,1404/01/28 - 03:06:40,4279.032,103235.8,2.06
7,805816,خدمات,نیشابور,909801034654.0,50.0,1400/02/06,1404/01/28 - 03:10:31,2673.04,105831.9,2.0
8,603182,,تربت حیدریه,909801035266.0,50.0,1402/11/23,1404/01/05 - 02:11:00,1816.486,145.0,3.06
9,514013,کشاورزی,مشهد,909801059671.0,150.0,1403/03/01,1404/01/28 - 03:11:00,0.0,,
10,603107,کشاورزی,تربت حیدریه,909801050121.0,150.0,1402/03/02,1404/01/28 - 03:10:57,367922.2,222440.8,19.2
11,517963,کشاورزی,مشهد,909801035486.0,200.0,1400/04/02,1404/01/28 - 01:43:22,191013.29,76346.4,14.89
12,603444,کشاورزی,تربت حیدریه,909801048232.0,100.0,1402/03/27,1403/05/12 - 03:10:55,247423.1,533778.9,8.46
13,518606,صنعتی,مشهد,909801034974.0,50.0,1400/08/10,1404/01/28 - 02:10:45,30517.52,3219899.8,1.11
14,514600,کشاورزی,مشهد,909801037083.0,100.0,1400/08/12,1404/01/01 - 02:01:45,36860.95,651347.9,1.48
15,518430,,مشهد,909801035265.0,50.0,1400/04/03,1404/01/28 - 02:07:53,4765.237,71395.3,4.38
16,608033,شرب و بهداشت دام,کاشمر,909801052337.0,50.0,1402/07/09,1404/01/28 - 03:10:38,19031.86,34496.9,2.64
17,911593,شرب و بهداشت دام,تربت جام,909801036862.0,50.0,1400/08/04,1404/01/28 - 02:10:55,6252.99,291257.8,0.48
18,529338,کشاورزی,مشهد,909801035351.0,150.0,1400/03/30,1403/12/27 - 02:08:08,427750.8,282306.6,20.75
19,519787,کشاورزی,مشهد,909801034846.0,125.0,1400/03/24,1404/01/28 - 02:10:37,139868.1,1784767.3,5.5
20,302105,کشاورزی,گناباد,909801033223.0,100.0,1399/08/11,1404/01/28 - 03:12:04,-12113.16,77783.9,1.72
21,514765,کشاورزی,مشهد,909801033013.0,150.0,1399/07/20,1404/01/28 - 02:10:42,26595174.0,31381457.2,15.8
22,515650,کشاورزی,مشهد,909801035556.0,100.0,1400/07/08,1404/01/28 - 02:11:02,157166.3,1642764.7,13.11
23,529134,کشاورزی,مشهد,909801032647.0,100.0,1399/05/25,1404/01/28 - 02:10:41,,,
24,517638,کشاورزی,مشهد,909801033054.0,100.0,1399/07/24,1404/01/28 - 02:11:09,-9195.1,0.0,
25,515741,کشاورزی,مشهد,909801033142.0,100.0,1399/08/12,1404/01/28 - 03:07:25,293149.3,606600.2,10.19
26,529307,کشاورزی,مشهد,909801036472.0,125.0,1400/08/08,1404/01/28 - 03:11:31,5294.3,70935.8,4.65
27,805629,شرب و بهداشت دام,نیشابور,909801048837.0,50.0,1401/10/18,1404/01/27 - 03:01:05,10057.906,320074.9,1.07
28,605164,کشاورزی,تربت حیدریه,909801032655.0,125.0,1399/07/27,1404/01/28 - 02:10:35,71771.6,3201241.2,3.33
29,604907,کشاورزی,تربت حیدریه,909801033134.0,100.0,1399/07/27,1404/01/28 - 02:10:33,24779.2,1370709.7,3.94
30,515611,کشاورزی,مشهد,909801035045.0,100.0,1400/02/27,1404/01/28 - 03:10:36,,0.0,
31,203320,کشاورزی,قوچان,909801035507.0,50.0,1400/06/10,1403/05/21 - 02:10:32,28337.72,190403.2,1.29
32,609042,کشاورزی,کاشمر,909801041691.0,100.0,1401/10/07,1404/01/28 - 02:10:31,33453.843,106889.5,8.46
33,302041,شرب و بهداشت دام,گناباد,909801035316.0,50.0,1400/04/27,1403/07/13 - 03:11:19,50.016,16.0,1.34
34,518893,سایر,مشهد,909801037292.0,50.0,1400/08/26,1404/01/28 - 01:59:06,542.316,9558.5,1.03
35,515411,شرب و بهداشت دام,مشهد,909801032448.0,50.0,1399/05/07,1404/01/28 - 02:10:25,6207.16,62757.7,2.87
36,805027,کشاورزی,نیشابور,909801035055.0,50.0,1400/08/29,1404/01/28 - 02:10:34,5157.5,7165.0,0.2
37,102646,کشاورزی,سبزوار,909801050891.0,150.0,1403/01/30,1403/02/24 - 02:45:25,0.0,4.2,3.73
38,529546,صنعتی,مشهد,909801034991.0,50.0,1400/04/08,1404/01/28 - 02:08:24,12637.51,178588.0,4.03
39,514059,,مشهد,909801034997.0,100.0,1400/06/09,1403/08/27 - 02:02:06,-30946.7,0.0,
40,518380,صنعتی,مشهد,909801035474.0,80.0,1400/09/04,1400/09/04 - 02:11:21,,,
41,603353,خدمات,تربت حیدریه,909801048286.0,150.0,1401/11/21,1404/01/28 - 03:08:54,392826.682,2784416.5,13.54
42,601581,صنعتی,تربت حیدریه,909801035221.0,50.0,1400/03/27,1404/01/28 - 03:11:17,13087.04,59609.3,2.89
43,541772,,مشهد,909801047560.0,80.0,1401/09/17,1404/01/28 - 03:10:21,65552.941,87065.4,4.7
44,623218,صنعتی,کاشمر,909801047557.0,80.0,1402/07/10,1404/01/28 - 03:10:41,37396.42,7901.9,8.57
45,618400,صنعتی,کاشمر,909801034927.0,50.0,1400/02/16,1404/01/28 - 03:10:44,9012.384,405324.1,4.55
46,805641,خدمات,نیشابور,909801040716.0,80.0,1403/01/26,1404/01/28 - 02:10:32,0.0,0.0,
47,515422,کشاورزی,مشهد,909801035365.0,125.0,1400/07/14,1404/01/28 - 02:10:37,231570.4,3841817.3,12.72
48,805501,کشاورزی,نیشابور,909801049175.0,100.0,1401/12/02,1404/01/28 - 03:09:13,,,
49,513657,,سرخس,909801039447.0,100.0,1401/10/05,1404/01/27 - 02:10:49,0.0,,
50,806418,صنعتی,نیشابور,909801046512.0,50.0,1401/07/19,1404/01/27 - 03:10:52,30097.28,543736.6,1.15
51,602411,شرب و بهداشت دام,خواف,909801036994.0,50.0,1400/08/18,1404/01/28 - 02:08:08,5853.927,120993.3,1.38
52,600743,شرب و بهداشت دام,تربت حیدریه,909801058240.0,80.0,1402/11/03,1403/04/16 - 03:06:55,36028.7,8866.6,7.61
53,107165,کشاورزی,سبزوار,909801036539.0,80.0,1400/06/20,1404/01/27 - 02:10:38,110619.2,771527.2,5.29
54,603399,,تربت حیدریه,909801036469.0,125.0,1400/07/28,1402/04/23 - 03:12:41,1670.09,1091.1,16.43
55,515122,کشاورزی,مشهد,909801036264.0,150.0,1400/06/13,1404/01/28 - 02:07:46,349003.4,1079849.7,14.24
