,Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month
32,302041,,0,0.0,0.0,-2.6,31,31,100.0,1401/01
57,516231,,0,0.0,,-0.052,12,31,38.71,1401/01
275,515534,,0,0.0,0.0,-0.133,31,31,100.0,1401/01
652,529336,2.07,1,3.23,300.4,-180119.9,10,31,32.26,1401/01
692,518586,,0,0.0,0.0,-37.9,31,31,100.0,1401/01
891,516190,0.99,0,0.0,7640.2,-4027.89,31,31,100.0,1401/01
941,516620,388.24,20,64.52,2523.2,-234140.42,31,31,100.0,1401/01
1115,517921,,0,0.0,,-2.0,31,31,100.0,1401/01
1134,517925,1.3,1,3.23,,-13.292,31,31,100.0,1401/01
1232,514393,,0,0.0,,-0.453,31,31,100.0,1401/01
1243,910761,,0,0.0,0.0,-0.453,31,31,100.0,1401/01
1269,601218,,0,0.0,0.0,-123.3,31,31,100.0,1401/01
1337,514608,23.17,0,0.0,467.7,-287361.9,31,31,100.0,1401/01
1379,806488,,0,0.0,0.0,-1595.03,31,31,100.0,1401/01
1509,529019,,0,0.0,0.0,-98.1,31,31,100.0,1401/01
1713,618310,0.44,7,22.58,4550.5,-5.43,31,31,100.0,1401/01
1727,514421,2.62,4,12.9,8849.6,-108.7,31,31,100.0,1401/01
1819,924132,,0,0.0,17.0,-6243.886,31,31,100.0,1401/01
1935,516805,,0,0.0,0.1,-1.1,31,31,100.0,1401/01
2136,515367,,0,0.0,0.0,-0.42,31,31,100.0,1401/01
2173,518328,,0,0.0,,-22160.67,12,31,38.71,1401/01
2250,302041,,0,0.0,0.0,-2.6,31,31,100.0,1401/02
2562,910813,3.4,0,0.0,7.2,-5069.798,30,31,96.77,1401/02
2671,514348,,0,0.0,0.0,-576.164,15,31,48.39,1401/02
2868,529330,,0,0.0,0.1,-0.4,18,31,58.06,1401/02
2873,529090,,0,0.0,337.2,-46532.62,31,31,100.0,1401/02
2900,615609,,0,0.0,,-0.012,31,31,100.0,1401/02
2910,518586,,0,0.0,0.0,-37.9,31,31,100.0,1401/02
2913,517235,0.42,3,9.68,34.2,-14.428,7,31,22.58,1401/02
3109,516190,,0,0.0,46.8,-2275.75,29,31,93.55,1401/02
3111,606009,38.07,0,0.0,1207.3,-26296.79,31,31,100.0,1401/02
3159,516620,761.56,22,70.97,165.4,-453221.9,31,31,100.0,1401/02
3352,517925,,0,0.0,,-20.496,31,31,100.0,1401/02
3383,212129,0.2,0,0.0,8.5,-203.918,24,31,77.42,1401/02
3487,601218,,0,0.0,0.0,-123.4,31,31,100.0,1401/02
3727,529019,,0,0.0,0.0,-98.1,31,31,100.0,1401/02
3789,515478,8.45,8,25.81,109.5,-3451.866,31,31,100.0,1401/02
3795,514922,3.94,7,22.58,351.6,-1010.552,31,31,100.0,1401/02
3902,600280,,0,0.0,0.0,-0.035,31,31,100.0,1401/02
4059,804865,,0,0.0,0.0,-1741.7,31,31,100.0,1401/02
4174,541975,0.48,3,9.68,-2207.8,-80.01,7,31,22.58,1401/02
4221,516014,,0,0.0,,-0.001,23,31,74.19,1401/02
4409,615183,,0,0.0,0.0,-0.01,31,31,100.0,1401/02
4468,302041,,0,0.0,0.0,-2.6,31,31,100.0,1401/03
4493,516231,,0,0.0,,-0.022,8,31,25.81,1401/03
4496,515828,,0,0.0,0.0,-0.021,31,31,100.0,1401/03
4835,520651,,0,0.0,1.1,-1727.106,30,31,96.77,1401/03
5059,529150,11.76,31,100.0,2424.4,-31281.358,31,31,100.0,1401/03
5088,529336,2.05,2,6.45,125.2,-1.789,31,31,100.0,1401/03
5128,518586,,0,0.0,0.0,-37.9,31,31,100.0,1401/03
5338,606010,30.0,1,3.23,1.0,-104.63,31,31,100.0,1401/03
