Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month
200654,1.38,0,0.0,16492.8,2727.77,31,31,100.0,1401/01
515618,7.05,0,0.0,29319.6,14647.5,31,31,100.0,1401/01
805816,3.06,0,0.0,10209.3,597.709,31,31,100.0,1401/01
603182,,0,0.0,,0.0,31,31,100.0,1401/01
517963,17.72,0,0.0,126871.1,39863.5,31,31,100.0,1401/01
518606,1.39,0,0.0,37404.6,3722.84,31,31,100.0,1401/01
514600,1.45,0,0.0,17566.0,3758.31,31,31,100.0,1401/01
518430,5.2,0,0.0,1425.2,551.927,31,31,100.0,1401/01
911593,0.39,0,0.0,66333.2,11507.03,31,31,100.0,1401/01
529338,19.7,0,0.0,53641.3,39231.7,31,31,100.0,1401/01
519787,16.45,0,0.0,57036.1,25598.1,31,31,100.0,1401/01
514765,23.17,0,0.0,40372.9,51314.0,31,31,100.0,1401/01
515650,13.48,0,0.0,25665.7,9768.72,31,31,100.0,1401/01
529134,6.09,0,0.0,79501.4,15739.7,31,31,100.0,1401/01
517638,4.32,0,0.0,37483.4,113348.6,31,31,100.0,1401/01
529307,8.3,0,0.0,32847.8,20243.56,31,31,100.0,1401/01
605164,8.73,0,0.0,33154.4,23317.9,31,31,100.0,1401/01
515611,12.08,0,0.0,14670.2,18407.36,31,31,100.0,1401/01
203320,1.65,0,0.0,9165.7,4377.73,31,31,100.0,1401/01
518893,1.62,0,0.0,432.7,92.825,31,31,100.0,1401/01
515411,3.08,0,0.0,7665.1,161.2,31,31,100.0,1401/01
805027,0.2,0,0.0,608.5,438.0,31,31,100.0,1401/01
529546,1.3,0,0.0,25248.4,2960.7,31,31,100.0,1401/01
514059,4.06,21,67.74,30651.2,217861.5,31,31,100.0,1401/01
601581,2.46,0,0.0,7283.5,1430.999,31,31,100.0,1401/01
805641,,0,0.0,0.0,0.0,31,31,100.0,1401/01
515422,18.5,0,0.0,34041.2,46279.4,31,31,100.0,1401/01
513657,,0,0.0,,0.0,31,31,100.0,1401/01
602411,2.03,0,0.0,1630.5,502.824,31,31,100.0,1401/01
107165,5.4,0,0.0,741.3,14410.18,31,31,100.0,1401/01
515122,11.97,1,3.23,32644.9,117254.31,31,31,100.0,1401/01
517768,20.51,0,0.0,132439.0,54821.6,31,31,100.0,1401/01
805327,2.02,0,0.0,120.1,78.258,31,31,100.0,1401/01
514487,18.63,0,0.0,12350.6,41069.16,31,31,100.0,1401/01
515828,,0,0.0,,0.0,31,31,100.0,1401/01
514505,26.63,0,0.0,30204.0,54595.6,31,31,100.0,1401/01
514807,16.73,0,0.0,27451.1,12441.3,31,31,100.0,1401/01
605058,6.16,0,0.0,5676.1,11423.16,31,31,100.0,1401/01
209268,3.28,0,0.0,4662.9,8716.116,31,31,100.0,1401/01
514154,7.62,0,0.0,66452.5,20384.2,31,31,100.0,1401/01
529036,15.0,0,0.0,109959.4,24397.9,31,31,100.0,1401/01
514711,18.7,0,0.0,5539.3,52896.02,31,31,100.0,1401/01
805221,0.74,5,16.13,34049.8,18570.289,18,31,58.06,1401/01
200712,7.35,0,0.0,2368.4,6515.804,31,31,100.0,1401/01
514422,34.63,0,0.0,88702.3,74320.5,31,31,100.0,1401/01
529072,6.79,0,0.0,170049.9,17874.2,31,31,100.0,1401/01
515960,1.61,0,0.0,1716.5,83.299,31,31,100.0,1401/01
514579,26.37,0,0.0,30372.9,193203.3,31,31,100.0,1401/01
519684,3.3,0,0.0,,4.5,31,31,100.0,1401/01
301144,1.2,1,3.23,13119.5,2.64,31,31,100.0,1401/01
515854,10.85,0,0.0,20269.0,20950.2,31,31,100.0,1401/01
515855,11.33,0,0.0,17022.3,25340.9,31,31,100.0,1401/01
514847,2.8,0,0.0,22099.0,6171.4,31,31,100.0,1401/01
515530,11.07,5,16.13,193865.7,248740.01,31,31,100.0,1401/01
515877,,0,0.0,0.0,0.1,31,31,100.0,1401/01
102799,5.92,2,6.45,75117.6,3837.47,31,31,100.0,1401/01
529229,16.1,0,0.0,52059.2,42975.1,31,31,100.0,1401/01
529219,14.93,0,0.0,56087.5,33500.1,31,31,100.0,1401/01
615431,0.33,0,0.0,5074.8,681.104,31,31,100.0,1401/01
514697,39.51,0,0.0,3856.3,28468.5,31,31,100.0,1401/01
911838,,0,0.0,,0.0,31,31,100.0,1401/01
200934,28.79,0,0.0,2480.4,37069.28,31,31,100.0,1401/01
529184,33.58,0,0.0,15973.0,72835.2,31,31,100.0,1401/01
804014,,0,0.0,,0.0,31,31,100.0,1401/01
518716,,0,0.0,0.0,0.0,31,31,100.0,1401/01
514702,24.41,0,0.0,45711.4,36801.9,31,31,100.0,1401/01
519042,1.61,0,0.0,2776.1,63.685,31,31,100.0,1401/01
515565,6.52,3,9.68,16808.6,13592.61,31,31,100.0,1401/01
517437,1.47,0,0.0,14709.4,2662.345,31,31,100.0,1401/01
603020,29.35,0,0.0,2446.4,129221.48,31,31,100.0,1401/01
603019,23.16,0,0.0,2733.3,5667.16,31,31,100.0,1401/01
603017,,0,0.0,,0.0,31,31,100.0,1401/01
603015,29.44,0,0.0,479.0,50717.49,31,31,100.0,1401/01
603016,17.77,0,0.0,21900.7,38924.6,31,31,100.0,1401/01
222222,,0,0.0,,0.0,31,31,100.0,1401/01
555555,,0,0.0,0.0,0.0,9,31,29.03,1401/01
زندان مرکزی,2.57,0,0.0,283.4,266.515,31,31,100.0,1401/01
516682,1.17,0,0.0,6066.2,195.79,31,31,100.0,1401/01
517913,3.96,0,0.0,8204.2,537.51,30,31,96.77,1401/01
