Subscription Code,License Type,County,Meter Serial,Meter Size,Installation Date,Last Connection Time,Consumption in Period (m³),Operating Hours in Period (h),Average Flow Rate in Period (l/s)
479654,,مشهد,929801000739.0,15.0,1403/07/29,1404/01/27 - 13:48:52,,,
917062,,مشهد,929801000738.0,15.0,1403/07/14,1404/01/27 - 13:54:41,,,
319197,,مشهد,929801001425.0,15.0,1403/12/29,1404/01/28 - 14:18:19,,,
560142,,مشهد,929801000685.0,15.0,1403/07/28,1404/01/25 - 13:51:53,,,
۴۰۰۹۷۲۴۴,,مشهد,929801000684.0,15.0,1403/07/14,1404/01/27 - 13:37:26,,,
930639,,مشهد,929801000541.0,15.0,1403/08/09,1404/01/27 - 13:52:08,,,
479657,,مشهد,929801000711.0,15.0,1403/07/30,1404/01/27 - 13:50:57,,,
80143,,مشهد,929801000665.0,15.0,1403/08/09,1403/12/19 - 00:03:05,,,
اذر مختاری,,طرقبه,929801000645.0,15.0,1403/12/21,1404/01/27 - 13:54:22,,,
151009,,چناران,929801000742.0,15.0,1403/06/20,1404/01/25 - 13:52:46,,,
1439830258,,تربت جام,929801000104.0,15.0,1403/05/24,1404/01/27 - 13:49:16,,,
1599801182,,کاشمر,929801000538.0,15.0,1403/07/26,1404/01/27 - 13:55:25,,,
5515840,,فریمان,929801000411.0,15.0,1403/12/15,1404/01/27 - 13:51:14,,,
4122080,,نیشابور,929801000072.0,40.0,1402/08/11,1403/11/06 - 00:21:46,,,
1599712339,,کاشمر,929801000532.0,15.0,1403/08/20,1404/01/27 - 13:52:26,,,
01133012,,کلات,929801000635.0,25.0,1403/11/02,1404/01/27 - 13:53:30,,,
1802245,,کاشمر,929801000837.0,15.0,1403/09/20,1404/01/27 - 13:54:47,,,
842683,,کاخک,929801000946.0,15.0,1403/10/02,,,,
14211214,,خرو,929801000194.0,20.0,1402/10/30,1404/01/27 - 13:48:19,,,
1124163,,سبزوار,929801000054.0,50.0,1402/07/22,1404/01/28 - 13:06:37,,,
412511,,نیشابور,929801000291.0,40.0,1403/02/15,1404/01/27 - 03:12:41,,,
14211166,,خرو,929801000706.0,15.0,1403/05/13,1404/01/27 - 13:52:40,,,
2,,خرو,929801000280.0,25.0,1403/03/23,1404/01/27 - 13:54:36,,,
3,,خرو,929801000151.0,25.0,1403/03/23,1404/01/27 - 13:54:41,,,
14211330,,خرو,929801000006.0,25.0,1402/08/30,1404/01/27 - 13:52:01,,,
14211204,,خرو,929801000007.0,25.0,1402/08/30,1404/01/27 - 13:54:58,,,
14211137,,خرو,929801000010.0,15.0,1402/08/30,1404/01/27 - 13:49:33,,,
881723,,گناباد,929801000299.0,20.0,1403/07/12,1404/01/27 - 13:55:39,,,
1599421043,,کاشمر,929801000585.0,15.0,1403/08/18,1404/01/27 - 13:52:37,,,
4616532,,طرقبه,929801000490.0,15.0,1403/12/08,1404/01/27 - 13:49:08,,,
