Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month
514059,4.06,21,67.74,30651.2,217861.5,31,31,100.0,1401/01
515122,11.97,1,3.23,32644.9,117254.31,31,31,100.0,1401/01
805221,0.74,5,16.13,34049.8,18570.289,18,31,58.06,1401/01
301144,1.2,1,3.23,13119.5,2.64,31,31,100.0,1401/01
515530,11.07,5,16.13,193865.7,248740.01,31,31,100.0,1401/01
102799,5.92,2,6.45,75117.6,3837.47,31,31,100.0,1401/01
515565,6.52,3,9.68,16808.6,13592.61,31,31,100.0,1401/01
529109,35.56,26,83.87,80372.4,8366018.5,30,31,96.77,1401/01
529293,32.36,31,100.0,79388.0,9152365.4,31,31,100.0,1401/01
529119,9.12,1,3.23,36506.3,10196.7,31,31,100.0,1401/01
804989,6.15,7,22.58,202482.8,572726.1,31,31,100.0,1401/01
804990,2.14,7,22.58,140563.1,67553.92,27,31,87.1,1401/01
805637,5.02,3,9.68,2794.8,4200.517,31,31,100.0,1401/01
806067,0.59,3,9.68,14880.4,9.098,31,31,100.0,1401/01
514555,3.56,2,6.45,35878.9,47392.23,31,31,100.0,1401/01
529122,7.87,6,19.35,32212.9,162584.12,31,31,100.0,1401/01
514618,5.81,3,9.68,2050.7,2994.139,31,31,100.0,1401/01
519905,5.06,3,9.68,2730.9,1555.416,31,31,100.0,1401/01
529155,15.27,1,3.23,20526.8,34379.2,31,31,100.0,1401/01
516155,2.78,3,9.68,4557.1,7588.569,31,31,100.0,1401/01
805895,0.67,1,3.23,0.5,1.613,31,31,100.0,1401/01
529205,23.53,1,3.23,3725.6,13319.11,15,31,48.39,1401/01
603246,20.16,2,6.45,80788.0,10593.2,31,31,100.0,1401/01
912936,0.3,1,3.23,,0.37,31,31,100.0,1401/01
604175,12.06,5,16.13,4426.5,32116.123,31,31,100.0,1401/01
515074,4.44,13,41.94,170510.9,289356.1,31,31,100.0,1401/01
603108,17.89,1,3.23,43811.8,12055.08,31,31,100.0,1401/01
514763,3.8,3,9.68,227544.0,244605.19,31,31,100.0,1401/01
515678,23.09,7,22.58,72453.7,259398.79,31,31,100.0,1401/01
529150,11.64,28,90.32,54889.4,660033.35,31,31,100.0,1401/01
529066,22.47,4,12.9,507458.7,760887.6,31,31,100.0,1401/01
