,Subscription Code,Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month
7,603182,,0,0.0,,0.0,31,31,100.0,1401/01
48,513657,,0,0.0,,0.0,31,31,100.0,1401/01
60,515828,,0,0.0,,0.0,31,31,100.0,1401/01
79,519684,3.3,0,0.0,,4.5,31,31,100.0,1401/01
94,911838,,0,0.0,,0.0,31,31,100.0,1401/01
99,804014,,0,0.0,,0.0,31,31,100.0,1401/01
110,603017,,0,0.0,,0.0,31,31,100.0,1401/01
113,222222,,0,0.0,,0.0,31,31,100.0,1401/01
289,805079,,0,0.0,,0.0,31,31,100.0,1401/01
331,804592,,0,0.0,,0.0,31,31,100.0,1401/01
335,514831,,0,0.0,,0.0,31,31,100.0,1401/01
363,603187,,0,0.0,,0.0,31,31,100.0,1401/01
394,202545,,0,0.0,,0.0,31,31,100.0,1401/01
396,530165,,0,0.0,,0.0,31,31,100.0,1401/01
405,514787,,0,0.0,,0.0,31,31,100.0,1401/01
415,601055,2.87,0,0.0,,112.046,31,31,100.0,1401/01
420,523005,,0,0.0,,0.0,31,31,100.0,1401/01
423,925243,,0,0.0,,0.0,31,31,100.0,1401/01
448,515531,,0,0.0,,0.0,31,31,100.0,1401/01
479,516421,,0,0.0,,0.0,31,31,100.0,1401/01
488,514722,,0,0.0,,0.0,31,31,100.0,1401/01
506,603190,,0,0.0,,0.0,31,31,100.0,1401/01
540,602018,,0,0.0,,0.0,31,31,100.0,1401/01
542,804970,,0,0.0,,0.0,31,31,100.0,1401/01
551,515395,,0,0.0,,0.0,31,31,100.0,1401/01
569,603230,,0,0.0,,0.0,31,31,100.0,1401/01
583,514025,13.6,0,0.0,,126.67,27,31,87.1,1401/01
618,615159,,0,0.0,,0.0,31,31,100.0,1401/01
638,514322,,0,0.0,,0.0,31,31,100.0,1401/01
659,516929,,0,0.0,,0.0,31,31,100.0,1401/01
663,805123,,0,0.0,,0.0,31,31,100.0,1401/01
689,529071,,0,0.0,,0.0,31,31,100.0,1401/01
724,108154,,0,0.0,,0.0,31,31,100.0,1401/01
773,519327,,0,0.0,,0.0,31,31,100.0,1401/01
803,608931,,0,0.0,,0.0,31,31,100.0,1401/01
857,606085,,0,0.0,,0.0,31,31,100.0,1401/01
859,602428-1,,0,0.0,,0.0,31,31,100.0,1401/01
860,602428-2,,0,0.0,,0.0,31,31,100.0,1401/01
861,602667,,0,0.0,,0.0,31,31,100.0,1401/01
914,100085,,0,0.0,,0.0,31,31,100.0,1401/01
940,200682,,0,0.0,,0.0,31,31,100.0,1401/01
955,212153,,0,0.0,,0.0,4,31,12.9,1401/01
962,608685,,0,0.0,,0.0,31,31,100.0,1401/01
989,526244,,0,0.0,,0.0,31,31,100.0,1401/01
1017,515134,,0,0.0,,0.0,31,31,100.0,1401/01
1030,518382,,0,0.0,,0.0,31,31,100.0,1401/01
1033,602864,,0,0.0,,0.0,31,31,100.0,1401/01
1078,514086,,0,0.0,,0.0,31,31,100.0,1401/01
1079,514574,,0,0.0,,0.0,31,31,100.0,1401/01
