Flow Rate (l/s),Number of Negative Flows,Percentage of Negative Flows,Operating Hours (h),Consumption (m³),Number of Available Data Points,تعداد مورد انتظار,درصد اطلاعات موجود,month
62.97,2,6.66,372787.2,78640.08,311,335,1020.0,1401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/08
0.0,0,0.0,0.0,3298.0190000000002,304,366,1000.0,1403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,10811.78,255,335,839.35,1402/111403/011403/031403/041403/051403/061403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,9597.024,191,244,624.81,1402/121403/011403/021403/041403/051403/061403/071403/08
0.0,0,0.0,0.0,4167.839,292,365,961.94,1402/111403/011403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,565.369,170,245,555.91,1403/011403/021403/041403/051403/061403/071403/081403/09
0.0,0,0.0,0.0,6803.175,279,335,919.35,1403/011403/021403/041403/051403/061403/071403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,688.082,290,395,956.13,1402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,1584.918,274,364,905.4399999999999,1402/121403/011403/021403/041403/051403/061403/071403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,2.4139999999999997,94,216,303.98,1403/011403/021403/031403/041403/051403/061403/07
0.0,0,0.0,0.0,45.168,233,242,770.97,1403/051403/061403/071403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,9.043,242,242,800.0,1403/051403/061403/071403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,16.387999999999998,215,242,712.9,1403/041403/061403/071403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,0.21,44,60,146.66,1403/111403/12
0.0,0,0.0,0.0,1045.33,201,211,667.74,1403/061403/071403/081403/091403/101403/111403/12
690.86,0,0.0,2370213.9,674731.6,1096,1096,3600.0,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
31.99,0,0.0,4428.2,64682.3,221,244,725.16,1403/031403/041403/051403/061403/071403/081403/091403/10
603.34,0,0.0,2818671.3,1574935.118,1061,1065,3487.09,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/051403/061403/071403/081403/091403/101403/111403/12
293.04,0,0.0,444748.0,282486.1,261,276,850.0,1401/011401/021401/031401/041401/051401/061401/071401/081401/09
0.0,0,0.0,0.0,0.0,60,60,200.0,1403/091403/10
136.31,0,0.0,184547.6,244820.73,159,186,512.9,1401/011401/021401/031401/041401/051401/06
35.53,0,0.0,3779.3,59894.706999999995,242,242,800.0,1403/051403/061403/071403/081403/091403/101403/111403/12
64.97,36,116.13,64485.399999999994,7670572.703,307,307,1000.0,1401/011401/021401/031401/041401/051401/061401/071402/031403/101403/12
64.19,0,0.0,3651.7,92049.43,300,304,987.1,1403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
105.6,0,0.0,5153.2,198380.676,596,607,1964.52,1402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
93.57000000000001,0,0.0,1396.8999999999999,75432.394,304,304,1000.0,1403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
699.36,1,3.45,485404.19999999995,387483.7,1039,1065,3416.13,1401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
703.26,0,0.0,4872485.600000001,757256.9,899,910,2963.54,1401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
1629.49,0,0.0,4288101.7,24867593.5,1043,1096,3427.2,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
479.78,2,6.67,407711.1,141914.7,1006,1006,3300.0,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/091403/10
15.67,0,0.0,275.7,2958.78,496,546,1636.13,1401/061401/081401/091401/111402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/101403/111403/12
0.0,0,0.0,0.0,0.0,770,794,2520.1,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071403/041403/051403/061403/071403/081403/091403/10
15.3,0,0.0,4226.9,23022.3,286,304,941.94,1403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
34.48,0,0.0,17408.1,118099.91,500,520,1635.48,1402/021402/031402/041402/051402/061402/071403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
68.52,5,16.66,1497.1,1337.711,779,790,2563.33,1401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/111403/12
38.05,0,0.0,2823.9,49948.225,418,425,1376.67,1402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
34.06,0,0.0,10795.2,6857.063,888,910,2926.67,1401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
66.31,14,46.26,50596.9,3067.098,1083,1096,3556.77,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
72.44,1,3.23,14385.2,15258.483,944,946,3093.33,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/07
263.1,1,3.33,6976.8,547966.0,459,485,1513.33,1402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/10
0.0,0,0.0,0.0,0.0,162,181,537.2,1401/091401/101401/111401/121402/011402/02
26.65,0,0.0,405.9,5811.7029999999995,501,521,1635.48,1402/011402/021402/031402/041402/051402/061402/071403/021403/031403/041403/051403/061403/071403/081403/091403/101403/11
0.0,0,0.0,0.0,0.0,154,155,496.77,1401/011401/021401/031401/041401/05
9.09,0,0.0,204.9,3250.1099999999997,80,90,266.67,1403/101403/111403/12
12.989999999999998,0,0.0,2065.0,22935.72,676,700,2220.0,1401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/07
707.79,11,36.690000000000005,1511406.5,626250.82,961,1004,3159.77,1401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/11
9.02,0,0.0,39.4,508.33000000000004,78,90,260.0,1403/101403/111403/12
0.0,0,0.0,0.0,0.0,412,455,1359.9,1402/061402/101402/111402/121403/011403/021403/041403/051403/061403/071403/081403/091403/101403/111403/12
28.38,9,29.58,1292.9,1074.156,455,485,1500.0,1402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
6.73,0,0.0,132.8,1598.31,23,60,76.67,1403/101403/11
7.05,0,0.0,813.5,2590.493,185,214,606.45,1403/031403/041403/051403/061403/071403/081403/09
11.8,0,0.0,3629.2,16676.970999999998,275,304,906.45,1403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
6.890000000000001,0,0.0,10273.2,21105.35,519,551,1695.48,1402/011402/021402/031402/041402/051402/061402/071403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
68.06,0,0.0,16027.9,8345.003,1095,1096,3596.55,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
40.45,3,10.120000000000001,33086.1,4394.667,1056,1065,3470.86,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
494.74,0,0.0,199936.30000000002,978323.854,755,792,2477.52,1401/061401/111402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
2.69,0,0.0,75.3,901.119,51,60,170.0,1403/111403/12
37.8,0,0.0,49486.0,54384.352,413,457,1356.56,1402/021402/031402/041402/051402/061402/071402/081403/051403/061403/071403/081403/091403/101403/111403/12
19.88,0,0.0,63684.8,7530.749,1066,1066,3500.0,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
134.78,11,36.56,2622413.6,230805.40000000002,588,609,1930.75,1401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/05
3.31,0,0.0,41.4,265.279,74,90,246.67000000000002,1403/101403/111403/12
25.900000000000002,0,0.0,107861.5,10255.005,845,946,2766.04,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/121403/011403/021403/031403/041403/051403/061403/071403/081403/09
0.0,0,0.0,0.0,0.0,313,336,1023.33,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/11
431.37,0,0.0,2104.0,252061.5,431,485,1420.0,1402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
15.5,0,0.0,2537.7000000000003,19476.691,309,335,1016.13,1403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
98.91,3,9.68,352327.5,280035.13,551,551,1800.0,1401/011401/021401/031401/041401/051401/061401/071403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
17.91,0,0.0,558.5,4389.113,667,701,2188.39,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/11
3.73,0,0.0,4.2,0.0,206,246,668.81,1402/011402/021402/031402/041402/051402/061402/071402/08
63.019999999999996,0,0.0,204.9,16918.088,199,212,658.06,1403/051403/061403/071403/081403/091403/101403/12
158.6,4,13.01,939084.3,223081.38,946,946,3100.0,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/07
315.38,0,0.0,899375.3999999999,776784.7,272,276,886.67,1401/011401/021401/031401/041401/051401/061401/071401/081401/09
70.34,0,0.0,453508.5,16704.05,809,820,2663.33,1401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
206.35,0,0.0,4457.9,326912.585,304,304,1000.0,1403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
9.18,2,6.66,3422.0,7073.013999999999,468,515,1545.81,1401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/01
10.92,0,0.0,8641.7,5489.048,639,670,2096.67,1401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/07
330.55,7,23.33,24921.6,505182.441,412,458,1349.14,1402/031402/051402/061402/071402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/08
2.6,0,0.0,23.3,219.046,389,425,1283.23,1402/061402/101402/111402/121403/011403/021403/041403/051403/061403/071403/081403/091403/101403/11
248.04,0,0.0,995336.6,278978.09,1096,1096,3600.0,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
24.13,16,51.61,191723.80000000002,186984.67,444,459,1451.61,1401/011401/021401/031401/041401/051401/081401/091401/111402/021402/031402/061402/081402/091402/101403/01
6.01,3,10.0,5470.799999999999,1052.608,794,820,2613.33,1401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/11
17.76,0,0.0,85959.1,27076.98,344,396,1132.15,1401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/06
172.61,0,0.0,1271773.0,600559.23,541,671,1773.17,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/11
40.63,4,13.33,50415.4,6929.774,809,820,2663.33,1401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
451.51,4,13.01,196152.2,296927.908,849,851,2793.33,1401/081401/091401/101401/111402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
235.59,0,0.0,4969.0,333202.1,637,669,2096.77,1402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
112.09,0,0.0,38.7,4784.593,479,489,1567.74,1402/031402/041402/051402/061402/071402/081402/091403/021403/031403/041403/051403/061403/071403/081403/091403/12
146.37,0,0.0,15136.5,264473.9,494,515,1630.0,1402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/11
91.63,1,3.23,1630.8999999999999,233786.858,994,1035,3267.53,1401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/11
97.4,0,0.0,21595.600000000002,108094.621,202,273,670.97,1401/021401/041401/081401/091401/101401/111401/121402/011402/02
3.48,0,0.0,73.9,965.763,377,427,1238.7,1401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/03
0.0,0,0.0,0.0,3.154,552,577,1816.55,1401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/041403/05
348.99,4,12.9,2343086.0,1064154.4,1096,1096,3600.0,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
331.23,123,408.19,13252598.1,20075300.55,1096,1096,3600.0,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
470.84,1,3.23,250002.30000000002,1174673.6300000001,631,700,2070.73,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/081402/101402/111402/121403/011403/021403/031403/041403/051403/061403/07
603.01,41,135.17000000000002,3000276.9,3633270.2399999998,991,1066,3252.62,1401/011401/021401/031401/041401/051401/061401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
173.31,1,3.45,1205093.0,335089.59,1065,1066,3496.55,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
141.16,0,0.0,3840.9,207564.7,304,304,1000.0,1403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
2.05,2,6.45,193297.3,311598.01,21,31,67.74,1401/01
78.49,2,6.66,65571.1,17857.039,982,1003,3231.73,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/051402/061402/071402/081402/091402/101402/111402/121403/011403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
76.24000000000001,0,0.0,23.9,1605.478,236,242,780.65,1403/051403/061403/071403/081403/091403/101403/111403/12
871.0,4,13.33,3631003.0,1820381.4,1021,1035,3354.84,1401/021401/031401/041401/051401/061401/071401/081401/091401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
79.77,0,0.0,93.6,4707.221,670,700,2203.23,1402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
39.87,0,0.0,12019.1,37279.9,599,701,1965.36,1401/011401/021401/031401/041401/051402/061402/071402/081402/091402/101402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,0.0,518,545,1710.0,1402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
6.4,0,0.0,589.9,1718.371,263,273,866.67,1403/041403/051403/061403/071403/081403/091403/101403/111403/12
18.59,0,0.0,677.9,6643.772,304,304,1000.0,1403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
748.81,0,0.0,8842369.9,1627366.108,4537,4580,14860.74,1401/011401/011401/011401/011401/011401/011401/021401/021401/021401/021401/021401/021401/031401/031401/031401/031401/031401/031401/041401/041401/041401/041401/041401/051401/051401/051401/051401/051401/061401/061401/061401/061401/061401/071401/071401/071401/071401/071401/081401/081401/081401/081401/081401/091401/091401/091401/091401/091401/101401/101401/101401/101401/101401/111401/111401/111401/111401/111401/121401/121401/121401/121402/011402/011402/011402/011402/021402/021402/021402/021402/031402/031402/031402/031402/041402/041402/041402/041402/051402/051402/051402/051402/051402/061402/061402/061402/061402/071402/071402/081402/091402/091402/101402/101402/111402/111402/121402/121403/011403/011403/021403/021403/021403/021403/021403/031403/031403/031403/031403/031403/041403/041403/041403/041403/041403/041403/051403/051403/051403/051403/051403/061403/061403/061403/061403/061403/071403/071403/071403/071403/071403/081403/081403/081403/081403/091403/091403/091403/091403/101403/101403/101403/101403/101403/111403/111403/111403/121403/121403/12
56.58,12,40.230000000000004,1235890.7,14865.82,730,730,2400.0,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/12
86.78,0,0.0,989.3,90520.87,1084,1096,3560.0,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,152.075,475,545,1571.93,1402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
22.26,0,0.0,27884.8,7473.2,819,916,2678.99,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/06
14.18,0,0.0,594.0,7195.72,855,855,2800.0,1401/011401/021401/031401/041401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111403/021403/041403/051403/061403/07
41.39,0,0.0,55762.0,49003.343,980,1003,3225.81,1401/031401/051401/061401/071401/081401/091401/101401/111401/121402/011402/021402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
14.86,0,0.0,3694.9,9673.376,423,425,1393.33,1402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/09
0.52,0,0.0,2.1,3.621,30,30,100.0,1403/12
4.1,0,0.0,472.8,1413.305,811,823,2660.0,1401/011401/021401/031401/051401/061401/071401/091401/101401/121402/011402/021402/041402/051402/061402/081402/091402/111402/121403/011403/031403/041403/051403/061403/071403/091403/101403/11
0.79,0,0.0,154.8,1003.513,490,548,1609.9,1402/031402/041402/051402/061402/071402/081402/091402/101402/111402/121403/011403/021403/041403/051403/061403/071403/081403/09
0.0,0,0.0,0.0,768.1980000000001,160,214,523.34,1402/111402/121403/011403/021403/031403/041403/05
0.0,0,0.0,0.0,4220.311,343,395,1131.37,1402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,965.778,472,547,1554.51,1402/051402/061402/071402/081402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/091403/101403/111403/12
0.0,0,0.0,0.0,9566.863,498,515,1643.34,1402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,37586.41,516,546,1703.23,1402/051402/061402/071402/081402/091402/101402/111402/121403/011403/031403/041403/051403/061403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,9308.877,492,546,1623.11,1402/051402/071402/081402/091402/111402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,1956.913,124,183,407.21,1402/111402/121403/011403/031403/041403/05
0.0,0,0.0,0.0,3175.817,303,363,1003.87,1402/111402/121403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,3332.7590000000005,133,150,443.34000000000003,1402/101402/111403/101403/111403/12
0.0,0,0.0,0.0,1021.037,238,305,780.76,1402/091402/101402/111402/121403/011403/021403/031403/041403/051403/06
0.0,0,0.0,0.0,20062.929,519,608,1711.28,1402/041402/051402/061402/071402/081402/091402/101402/121403/011403/021403/031403/041403/051403/061403/071403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,1050.54,85,152,280.74,1402/111402/121403/011403/031403/04
0.0,0,0.0,0.0,37898.157,356,395,1171.29,1402/081402/091402/101402/111402/121403/011403/021403/031403/041403/051403/061403/111403/12
0.0,0,0.0,0.0,28211.829999999998,289,332,958.93,1402/111402/121403/011403/031403/041403/071403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,9891.686,256,397,836.4499999999999,1402/051402/061402/071402/081402/101402/121403/011403/021403/031403/041403/051403/061403/07
0.0,0,0.0,0.0,272.867,209,242,692.15,1403/051403/061403/071403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,33365.176999999996,238,273,786.55,1402/101402/111402/121403/011403/021403/031403/041403/111403/12
0.0,0,0.0,0.0,230204.0,224,243,738.71,1402/041402/051402/061403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,73183.424,350,394,1155.06,1402/101402/111402/121403/011403/031403/041403/051403/061403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,37179.070999999996,412,455,1357.52,1402/081402/101402/111402/121403/011403/021403/031403/041403/051403/061403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,8528.495,303,332,1004.09,1402/111402/121403/011403/031403/041403/071403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,35680.718,281,337,919.14,1402/041402/051402/061402/071402/081403/011403/021403/031403/041403/111403/12
0.0,0,0.0,0.0,280.198,51,123,164.84,1402/111403/011403/031403/04
0.0,0,0.0,0.0,2958.124,286,334,942.04,1402/091402/101402/111402/121403/011403/031403/041403/051403/061403/071403/08
0.0,0,0.0,0.0,874.715,233,244,764.0699999999999,1402/101402/111402/121403/011403/021403/031403/041403/05
0.0,0,0.0,0.0,978.629,246,272,815.91,1402/121403/011403/031403/041403/081403/091403/101403/111403/12
0.0,0,0.0,0.0,260.85,140,216,451.94,1402/111403/011403/021403/031403/041403/051403/06
0.0,0,0.0,0.0,34.254999999999995,93,121,307.05,1402/121403/011403/031403/11
